,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,total_claim_amount,number_of_open_complaints,number_of_policies,coverage,education,gender,vehicle_size,Disabled,Employed,Medical Leave,Retired,Unemployed,Rural,Suburban,Urban,Divorced,Married,Single,Four-Door Car,Luxury Car,Luxury SUV,SUV,Sports Car,Two-Door Car,month,day,week
0,14.759257173324901,10.937987895736994,0.9703249873324843,3.4657359027997265,1.6094379124341003,108.21860044895269,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,8.0
1,17.849027041029274,9.2140335438138,0.9739080922545751,2.5649493574615367,3.7376696182833684,118.40789419793872,0.0,8.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,5.0
2,20.132246463112505,10.794809133586739,0.9751851347801529,2.8903717578961645,3.6375861597263857,144.40103651318935,0.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,19.0,7.0
3,18.175914566335248,9.2140335438138,0.975023519264374,2.8903717578961645,4.174387269895637,137.39298922594205,0.0,7.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,3.0
4,14.8154339693193,10.688210676583283,0.9710646663389656,2.4849066497880004,3.784189633918261,50.092050582402535,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0
5,18.454623216881977,11.049333238685419,0.9703249873324843,2.6390573296152584,4.543294782270004,55.82229840460235,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,4.0
6,16.939641433646702,10.921431938136783,0.969921741115104,0.0,2.5649493574615367,94.62885154004034,0.0,9.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,8.0
7,17.96802727508166,9.2140335438138,0.9745912352930072,0.0,4.219507705176107,103.60705815678908,0.0,4.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,3.0
8,18.342071038889067,9.551942286417393,0.9707053316183792,2.5649493574615367,1.0986122886681098,133.76637952884423,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,4.0
9,18.0525066731322,10.268547246009254,0.973802033243737,2.833213344056216,1.9459101490553132,116.66042626505394,0.0,8.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,7.0
